Game Count,1
Score,69
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,2
Score,11
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,3
Score,16
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,4
Score,16
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,5
Score,24
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,6
Score,12
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,7
Score,12
Activated (times),0
Total Smile Time, 0
----------------------------------
