Game Count,1
Score,67
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,2
Score,73
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,3
Score,22
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,4
Score,17
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,5
Score,54
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,6
Score,57
Activated (times),0
Total Smile Time, 0
----------------------------------
