Game Count,1
Score,52
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,2
Score,39
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,3
Score,93
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,4
Score,12
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,5
Score,17
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,6
Score,55
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,7
Score,96
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,8
Score,17
Activated (times),0
Total Smile Time, 0
----------------------------------
