Game Count,1
Score,18
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,2
Score,12
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,3
Score,35
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,4
Score,23
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,5
Score,28
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,6
Score,43
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,7
Score,25
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,8
Score,85
Activated (times),0
Total Smile Time, 0
----------------------------------
Game Count,9
Score,157
Activated (times),0
Total Smile Time, 0
----------------------------------
